Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","16","Bangladesh","5910","Export Quantity","1901","Textile Fibres","2005","2005","tonnes","316696","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","1901","Textile Fibres","2005","2005","tonnes","534846","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","1901","Textile Fibres","2005","2005","tonnes","222482","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","1901","Textile Fibres","2006","2006","tonnes","279075","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","1901","Textile Fibres","2006","2006","tonnes","1283630","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5610","Import Quantity","1901","Textile Fibres","2006","2006","tonnes","566105","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5910","Export Quantity","1901","Textile Fibres","2006","2006","tonnes","440380","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","1901","Textile Fibres","2006","2006","tonnes","474999","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","1901","Textile Fibres","2006","2006","tonnes","171578","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","1901","Textile Fibres","2007","2007","tonnes","383897","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","1901","Textile Fibres","2007","2007","tonnes","1726530","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5610","Import Quantity","1901","Textile Fibres","2007","2007","tonnes","795442","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5910","Export Quantity","1901","Textile Fibres","2007","2007","tonnes","676558","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","1901","Textile Fibres","2007","2007","tonnes","604960","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","1901","Textile Fibres","2007","2007","tonnes","145639","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","1901","Textile Fibres","2008","2008","tonnes","346397","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","1901","Textile Fibres","2008","2008","tonnes","656145","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5610","Import Quantity","1901","Textile Fibres","2008","2008","tonnes","161817","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5910","Export Quantity","1901","Textile Fibres","2008","2008","tonnes","398817","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","1901","Textile Fibres","2008","2008","tonnes","1027641","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","1901","Textile Fibres","2008","2008","tonnes","144903","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","1901","Textile Fibres","2009","2009","tonnes","319961","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","1901","Textile Fibres","2009","2009","tonnes","1664382","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5610","Import Quantity","1901","Textile Fibres","2009","2009","tonnes","300713","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5910","Export Quantity","1901","Textile Fibres","2009","2009","tonnes","349150","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","1901","Textile Fibres","2009","2009","tonnes","535784","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","1901","Textile Fibres","2009","2009","tonnes","129867","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","1901","Textile Fibres","2010","2010","tonnes","186218","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","1901","Textile Fibres","2010","2010","tonnes","1961075","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5610","Import Quantity","1901","Textile Fibres","2010","2010","tonnes","410529","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5910","Export Quantity","1901","Textile Fibres","2010","2010","tonnes","330981","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","1901","Textile Fibres","2010","2010","tonnes","454313","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","1901","Textile Fibres","2010","2010","tonnes","242761","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","1901","Textile Fibres","2011","2011","tonnes","304854","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","1901","Textile Fibres","2011","2011","tonnes","2423306","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5610","Import Quantity","1901","Textile Fibres","2011","2011","tonnes","562256","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5910","Export Quantity","1901","Textile Fibres","2011","2011","tonnes","446843","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","1901","Textile Fibres","2011","2011","tonnes","364189","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","1901","Textile Fibres","2011","2011","tonnes","250800","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","1901","Textile Fibres","2012","2012","tonnes","492384","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","1901","Textile Fibres","2012","2012","tonnes","2569138","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5610","Import Quantity","1901","Textile Fibres","2012","2012","tonnes","490371","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5910","Export Quantity","1901","Textile Fibres","2012","2012","tonnes","442351","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","1901","Textile Fibres","2012","2012","tonnes","343875","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","1901","Textile Fibres","2012","2012","tonnes","301848","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","1901","Textile Fibres","2013","2013","tonnes","367691","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","1901","Textile Fibres","2013","2013","tonnes","3226570","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5610","Import Quantity","1901","Textile Fibres","2013","2013","tonnes","577906","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5910","Export Quantity","1901","Textile Fibres","2013","2013","tonnes","304815","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","1901","Textile Fibres","2013","2013","tonnes","467264","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","1901","Textile Fibres","2013","2013","tonnes","222287","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","1901","Textile Fibres","2014","2014","tonnes","392462","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","1901","Textile Fibres","2014","2014","tonnes","2249537","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5610","Import Quantity","1901","Textile Fibres","2014","2014","tonnes","654721","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5910","Export Quantity","1901","Textile Fibres","2014","2014","tonnes","219889","A","Aggregate, may include official, semi-official, estimated or calculated data"
